FID,Track_id,Log_Number,,distance traveled,2012 data,2015 data,Species,Azimuth,DR__Max_,DR__Min_,Basal_Diam,Basal_Dist,Top_Diamte,Total_Leng,Decay_Fact,Buried,Type,Comments_L,Max_PDOP,Max_HDOP,Corr_Type,Rcvr_Type,GPS_Date,GPS_Time,Update_Sta,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,GPS_Week,GPS_Second,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,Northing,Easting,Point_ID
444, ,5206,,20.8,21.5,0.7,THPL,300,0,0,0.610000014,0,0.5,3.599999905,Low,Yes,Loose, ,5.5,2.599999905,Postprocessed Carrier Float,GeoXH 6000,9/14/2015,11:10:47am,New,Snag_Loc,XH091409B.cor,13,13,Elwha Snags14,1862,151863,22.437,4.7,2.1,2.444738,428222.834,974367.494,776
337, ,5203,,3.8,21.5,17.7, ,170,0,0,0,0,0,9.5,Low,No,Racked, ,4.800000191,2.299999952,Postprocessed Carrier Float,GeoXH 6000,9/30/2015,02:25:32pm,New,Snag_Loc,XH093012B.cor,30,30,Elwha Snags14,1864,336348,320.42,0.9,0.6,1.8562,385997.793,964982.279,444
468, ,5202,,1.2,21.5,20.3, ,110,0,0,0,0,0,10.5,Medium,No,Racked, ,4.199999809,2.200000048,Postprocessed Carrier Float,Geo 7X (H-Star),10/14/2015,02:03:42pm,New,Snag_Loc,7X101413A.cor,22,22, ,1866,335038,392.855,1.3,0.8,1.060689,379915.192,964049.585,24
320, ,5198,,3.5,21.5,18, ,160,0,0,0,0,0,5,Low,No,Loose, ,3.299999952,2,Postprocessed Carrier Float,GeoXH 6000,10/12/2015,02:05:01pm,New,Snag_Loc,XH101211A.cor,59,59,Elwha Snags14,1866,162317,328.45,1.2,0.8,1.167618,385194.725,964854.126,363
311, ,5196,,2.2,21.5,19.3, ,240,0,0,0,0,0,0,Low,No,Racked,lentgh is at leasr 6,5.400000095,2.5,Postprocessed Carrier Float,GeoXH 6000,10/13/2015,01:54:58pm,New,Snag_Loc,XH101313A.cor,42,42,Elwha Snags14,1866,248114,361.05,0.8,0.6,1.094946,381374.818,965569.361,349
313, ,5192,,2.9,21.6,18.7, ,250,0,0,0,0,0,12,Low,No,Racked,split lengthwise,5.599999905,2.5,Postprocessed Carrier Float,GeoXH 6000,10/13/2015,03:30:18pm,New,Snag_Loc,XH101313A.cor,20,20,Elwha Snags14,1866,253834,347.47,2.3,1.7,1.467321,382784.146,965366.22,354
326, ,5191,,4.6,21.5,16.9, ,230,0,0,0,0,0,0,Low,No,Racked,fir,4.699999809,2.099999905,Postprocessed Carrier Float,GeoXH 6000,10/7/2015,12:22:37pm,New,Snag_Loc,XH100711C.cor,20,20,Elwha Snags14,1865,328973,297.418,1.3,0.9,8.387368,388252.367,965881.118,406
103, ,5190,,9.7,21.5,11.8,ACMA,235,2,1.100000024,0.629999995,1,0.400000006,8.800000191,Low,No,Loose, ,4.5,2.200000048,Postprocessed Carrier Float,GeoXH 6000,10/21/2015,11:47:34am,New,Snag_Loc,XH102109A.cor,29,29,Elwha Snags14,1867,326870,191.028,1.4,0.8,8.554746,401676.567,969403.695,106
327, ,5188,,4.5,21.3,16.8, ,245,0,0,0,0,0,0,Low,Yes,Racked, ,6.800000191,2.900000095,Postprocessed Carrier Float,GeoXH 6000,10/7/2015,01:38:01pm,New,Snag_Loc,XH100711C.cor,13,13,Elwha Snags14,1865,333497,292.714,2.3,1.1,1.006702,388516.089,965754.779,407
331, ,5179,,3.55,21.65,18.1, ,250,0,0,0,0,0,19,Low,No,Key,fir,6.800000191,3.400000095,Postprocessed Code,GeoXH 6000,10/7/2015,03:22:50pm,New,Snag_Loc,XH100711C.cor,17,17,Elwha Snags14,1865,339786,326.863,1.9,1.4,3.167136,385004.254,964927.225,411
467, ,5171,,1.2,21.4,20.2, ,300,0,0,0,0,0,0,Low,No,Racked,both tags here,4.300000191,2.200000048,Postprocessed Carrier Float,Geo 7X (H-Star),10/14/2015,01:51:15pm,New,Snag_Loc,7X101413A.cor,15,15, ,1866,334291,390.97,2.2,1.4,1.262431,379615.969,964332.993,23
388, ,5152,,7.9,18.8,10.9, ,100,0,0,0,0,0,0,Low,No,Racked, ,3.299999952,2.299999952,Postprocessed Carrier Float,GeoXH 6000,9/17/2015,12:57:23pm,New,Snag_Loc,XH091710B.cor,57,57,Elwha Snags14,1862,417459,169.267,0.7,0.4,0.808321,403820.432,970633.305,632
303, ,5149,,0,18.8,18.8, ,40,0,0,0,0,0,0,Low,No,Racked, ,3.099999905,1.799999952,Postprocessed Carrier Float,GeoXH 6000,10/15/2015,04:01:54pm,New,Snag_Loc,XH101511B.cor,47,47,Elwha Snags14,1866,428530,344.68,3.9,2.2,5.093799,382647.621,964728.307,311
305, ,5147,,0.1,18.9,18.8, ,130,0,0,0,0,0,0,Low,Yes,Racked, ,8.100000381,4.199999809,Postprocessed Code,GeoXH 6000,10/15/2015,04:13:30pm,New,Snag_Loc,XH101511B.cor,20,20,Elwha Snags14,1866,429226,360.313,3.8,3.4,2.135057,382454.395,964722.447,313
304, ,5146,,0.1,18.9,18.8, ,5,0,0,0,0,0,0,Low,Yes,Racked, ,3.099999905,1.899999976,Postprocessed Code,GeoXH 6000,10/15/2015,04:11:20pm,New,Snag_Loc,XH101511B.cor,35,35,Elwha Snags14,1866,429096,356.498,3.4,2,3.044394,382471.02,964726.19,312
306, ,5145,,0.1,18.9,18.8, ,50,0,0,0,0,0,0,Medium,No,Racked, ,4,2.099999905,Postprocessed Code,GeoXH 6000,10/15/2015,04:14:22pm,New,Snag_Loc,XH101511B.cor,37,37,Elwha Snags14,1866,429278,354.433,2.6,2.3,2.607467,382449.85,964725.479,314
289, ,5142,,-19.5,,19.5, ,350,0,0,0,0,0,0,Low,No,Loose, ,19.29999924,5.800000191,Postprocessed Code,GeoXH 6000,10/15/2015,11:49:49am,New,Snag_Loc,XH101511B.cor,11,11,Elwha Snags14,1866,413405,397.833,4.3,2.7,0.931805,380789.15,965624.156,295
332, ,5140,,0.7,23.2,22.5, ,110,0,0,0,0,0,0,Low,Yes,Loose,intact,7,3,Postprocessed Carrier Float,GeoXH 6000,10/5/2015,12:14:52pm,New,Snag_Loc,XH100512A.cor,22,22,Elwha Snags14,1865,155708,495.501,0.8,0.6,0.140208,373294.171,961872.948,412
469, ,5139,,2.9,23.2,20.3, ,310,0,0,0,0,0,24,Low,No,Racked, ,3.599999905,1.899999976,Postprocessed Carrier Float,Geo 7X (H-Star),10/14/2015,02:26:07pm,New,Snag_Loc,7X101413A.cor,17,17, ,1866,336383,392.882,1.9,0.7,0.586548,379905.403,964000.967,26
315, ,5127,,1.6,19,17.4, ,295,0,0,0,0,0,7,Low,No,Racked, ,3.299999952,1.600000024,Postprocessed Code,GeoXH 6000,10/12/2015,12:17:18pm,New,Snag_Loc,XH101211A.cor,12,12,Elwha Snags14,1866,155854,312.946,1.9,1.4,1.498057,386982.052,965288.053,356
367, ,5125,,10.2,18.9,8.7, ,180,0,0,0,0,0,0,Low,No,Racked, ,3.099999905,1.5,Postprocessed Code,GeoXH 6000,9/24/2015,02:05:20pm,New,Snag_Loc,XH092411A.cor,7,7,Elwha Snags14,1863,421536,135.12,1.1,0.7,1.653614,408160.384,972249.432,609
340, ,5123,,1.4,18.8,17.4, ,260,0,0,0,0,0,9, ,Yes,Key, ,6.800000191,2.5,Postprocessed Code,GeoXH 6000,9/30/2015,02:50:00pm,New,Snag_Loc,XH093012B.cor,31,31,Elwha Snags14,1864,337816,317.329,1,0.8,15.025606,386868.778,964859.374,447
473, ,5122,,0,20.4,20.4, ,350,0,0,0,0,0,0,Low,No,Loose,both tags,4.099999905,2.400000095,Postprocessed Code,Geo 7X (H-Star),10/14/2015,02:36:22pm,New,Snag_Loc,7X101413A.cor,10,10, ,1866,336998,399.328,3.4,2.7,1.929039,379878.598,963679.228,30
294, ,5117,,0,18.6,18.6, ,80,0,0,0,0,0,0,Low,No,Loose, ,3.799999952,3,Postprocessed Code,GeoXH 6000,10/15/2015,02:38:46pm,New,Snag_Loc,XH101511B.cor,28,28,Elwha Snags14,1866,423542,351.963,0.8,0.8,0,383232.838,964849.291,300
292, ,5116,,0,18.6,18.6, ,120,0,0,0,0,0,0,Low,No,Loose, ,5.099999905,3.099999905,Postprocessed Code,GeoXH 6000,10/15/2015,02:36:13pm,New,Snag_Loc,XH101511B.cor,68,68,Elwha Snags14,1866,423389,348.024,1.1,0.8,1.841113,383218.416,964865.222,298
293, ,5113,,0,18.6,18.6, ,240,0,0,0,0,0,0,Low,No,Loose, ,2.599999905,1.700000048,Postprocessed Code,GeoXH 6000,10/15/2015,02:37:53pm,New,Snag_Loc,XH101511B.cor,30,30,Elwha Snags14,1866,423489,358.379,1.9,2,0.609966,383215.613,964846.444,299
299, ,5105,,2.8,21.2,18.4, ,200,0,0,0,0,0,0,Medium,Yes,Loose, ,4.5,2.400000095,Postprocessed Carrier Float,GeoXH 6000,10/15/2015,02:54:56pm,New,Snag_Loc,XH101511B.cor,28,28,Elwha Snags14,1866,424512,340.458,3.4,1.8,0.995443,383730.211,965001.608,305
297, ,5104,,0,18.4,18.4, ,150,0,0,0,0,0,0,Medium,Yes,Loose, ,6.400000095,4.300000191,Postprocessed Code,GeoXH 6000,10/15/2015,02:53:01pm,New,Snag_Loc,XH101511B.cor,34,34,Elwha Snags14,1866,424397,354.229,1.4,0.9,4.637548,383711.957,965001.232,303
298, ,5103,,0,18.4,18.4, ,200,0,0,0,0,0,0,Low,No,Loose, ,6.699999809,3.599999905,Postprocessed Code,GeoXH 6000,10/15/2015,02:53:50pm,New,Snag_Loc,XH101511B.cor,28,28,Elwha Snags14,1866,424446,348.518,1.1,1.9,3.603901,383725.125,964995.394,304
296, ,5100,,0,18.6,18.6, ,70,0,0,0,0,0,0,Low,No,Loose, ,4.300000191,2.599999905,Postprocessed Code,GeoXH 6000,10/15/2015,02:42:15pm,New,Snag_Loc,XH101511B.cor,22,22,Elwha Snags14,1866,423751,344.78,2.2,2.2,2.161984,383302.704,964900.753,302
295, ,5099,,0,18.6,18.6, ,80,0,0,0,0,0,0,Low,No,Loose, ,2.900000095,2.299999952,Postprocessed Code,GeoXH 6000,10/15/2015,02:41:03pm,New,Snag_Loc,XH101511B.cor,7,7,Elwha Snags14,1866,423679,348.962,4.7,5.6,0.977267,383301.514,964902.014,301
301, ,5093,,0.6,18.8,18.2, ,180,0,0,0,0,0,0,Low,No,Loose, ,3.5,1.700000048,Postprocessed Carrier Float,GeoXH 6000,10/15/2015,03:03:56pm,New,Snag_Loc,XH101511B.cor,36,36,Elwha Snags14,1866,425052,334.707,2.6,2.4,1.030158,384349.149,964923.493,307
300, ,5090,,0.6,18.8,18.2, ,200,0,0,0,0,0,0,Low,No,Loose, ,5.5,2.799999952,Postprocessed Code,GeoXH 6000,10/15/2015,03:02:38pm,New,Snag_Loc,XH101511B.cor,14,14,Elwha Snags14,1866,424974,339.652,5.1,6.1,0.502049,384330.678,964932.649,306
302, ,5087,,0,18.8,18.8, ,350,0,0,0,0,0,0,Medium,No,Loose, ,6.199999809,4.099999905,Postprocessed Code,GeoXH 6000,10/15/2015,03:57:10pm,New,Snag_Loc,XH101511B.cor,28,28,Elwha Snags14,1866,428246,363.743,4.6,4.6,1.074415,382685.861,964704.291,309
290, ,5082,,,,19.5, ,340,0,0,0,0,0,0,Medium,No,Racked,end buried,3.099999905,1.399999976,Postprocessed Code,GeoXH 6000,10/15/2015,11:57:12am,New,Snag_Loc,XH101511B.cor,11,11,Elwha Snags14,1866,413848,371.662,4.5,2.7,0.487705,380794.996,965625.225,296
472, ,5081,,,,20.3, ,80,0,0,0,0,0,0,Low,Yes,Loose,both tags not moved,3.099999905,1.299999952,Postprocessed Code,Geo 7X (H-Star),10/14/2015,02:34:44pm,New,Snag_Loc,7X101413A.cor,10,10, ,1866,336900,395.294,1.9,1.1,3.746088,379937.716,963773.673,29
471, ,5080,,,,20.3, ,120,0,0,0,0,0,0,Medium,Yes,Loose,both tags,2.299999952,1.299999952,Postprocessed Code,Geo 7X (H-Star),10/14/2015,02:33:10pm,New,Snag_Loc,7X101413A.cor,10,10, ,1866,336806,400.184,2.8,3.5,1.200643,379936.306,963788.286,28
310, ,5079,,,,19.2, ,70,0,0,0,0,0,0,Low,Yes,Racked, ,2.599999905,1.399999976,Postprocessed Code,GeoXH 6000,10/13/2015,01:50:25pm,New,Snag_Loc,XH101313A.cor,12,12,Elwha Snags14,1866,247841,363.158,0.9,0.9,0.209236,381374.468,965416.232,348
376, ,5076,,,,10.8, ,145,0,0,0,0,0,0,Medium,No,Racked,full length,7,1.899999976,Postprocessed Carrier Float,GeoXH 6000,9/17/2015,10:44:51am,New,Snag_Loc,XH091710B.cor,14,14,Elwha Snags14,1862,409507,170.198,1.4,0.5,5.54367,404013.54,970934.292,620
336, ,5070,,,,17, ,80,0,0,0,0,0,8,Low,No,Racked, ,6.300000191,2.400000095,Postprocessed Code,GeoXH 6000,9/30/2015,01:10:55pm,New,Snag_Loc,XH093012B.cor,18,18,Elwha Snags14,1864,331871,299.312,6.7,3.7,4.025907,387832.965,965915.157,443
317, ,5066,,,,17.4, ,250,0,0,0,0,0,4.699999809,Low,No,Racked, ,5.599999905,3,Postprocessed Code,GeoXH 6000,10/12/2015,01:07:22pm,New,Snag_Loc,XH101211A.cor,11,11,Elwha Snags14,1866,158858,313.674,2.9,2.4,0.955062,386975.737,965274.292,358
474, ,5065,,,,22.2, ,1,0,0,0,0,0,32,Low,Yes,Loose, ,6.099999905,5.599999905,Postprocessed Carrier Float,Geo 7X (H-Star),10/6/2015,12:27:43pm,New,Snag_Loc,7X100612A.cor,15,15, ,1865,242879,472.073,0.7,0.4,1.161856,374387.453,962005.177,71
314, ,5054,,,,19.3, ,260,0,0,0,0,0,9,Low,No,Racked, ,3.599999905,1.299999952,Postprocessed Carrier Float,GeoXH 6000,10/12/2015,11:11:34am,New,Snag_Loc,XH101211A.cor,28,28,Elwha Snags14,1866,151910,363.19,0.8,0.4,1.448122,381153.409,965646.84,355
323, ,5051,,,,16.9, ,260,0,0,0,0,0,3.5,Low,No,Racked, ,6.800000191,3,Postprocessed Code,GeoXH 6000,10/7/2015,12:12:48pm,New,Snag_Loc,XH100711C.cor,12,12,Elwha Snags14,1865,328384,301.459,4,2.4,2.009517,388163.99,965938.207,403
322, ,5050,,,,16.9, ,50,0,0,0,0,0,18,Low,No,Racked,grand fir,6.699999809,2.200000048,Postprocessed Code,GeoXH 6000,10/7/2015,11:45:52am,New,Snag_Loc,XH100711C.cor,21,21,Elwha Snags14,1865,326768,298.524,2.5,1.2,5.263524,388104.477,966191.161,402
333, ,5047,,,,23.4, ,25,0,0,0,0,0,14,Low,No,Key, ,4,1.700000048,Postprocessed Carrier Float,GeoXH 6000,10/5/2015,02:12:28pm,New,Snag_Loc,XH100512A.cor,14,14,Elwha Snags14,1865,162764,504.566,1,0.5,3.231436,371090.242,963370.929,417
343, ,5046,,,,1.9,PSME,300,0,0,0,0,0,10.5,Low,Yes,Loose, ,2.700000048,1.600000024,Postprocessed Carrier Float,GeoXH 6000,9/29/2015,11:02:52am,New,Snag_Loc,XH092911A.cor,39,39,Elwha Snags14,1864,237788,26.905,0.7,0.5,1.119109,425975.283,974521.8,450
321, ,5045,,,,18, ,355,0,0,0,0,0,3,Low,No,Loose, ,4,2.299999952,Postprocessed Code,GeoXH 6000,10/12/2015,02:15:26pm,New,Snag_Loc,XH101211A.cor,83,83,Elwha Snags14,1866,162942,326.623,1,0.6,0.296503,385210.023,964812.777,366
341, ,5045,,,,18, ,160,0,0,0,0,0,3.299999952,Low,No,Loose, ,3.099999905,1.5,Postprocessed Carrier Float,GeoXH 6000,9/30/2015,04:11:42pm,New,Snag_Loc,XH093012B.cor,16,16,Elwha Snags14,1864,342718,330.041,1.8,1.5,2.266278,385211.818,964814.561,448
291, ,5043,,,,19, ,280,0,0,0,0,0,0,Low,No,Racked,both tags,2.200000048,1,Postprocessed Carrier Float,GeoXH 6000,10/15/2015,01:47:08pm,New,Snag_Loc,XH101511B.cor,54,54,Elwha Snags14,1866,420444,353.585,0.7,0.4,0.181385,382115.377,964986.026,297
316, ,5033,,,,17.4, ,125,0,0,0,0,0,6.5,Medium,No,Racked, ,2.900000095,1.5,Postprocessed Code,GeoXH 6000,10/12/2015,12:39:52pm,New,Snag_Loc,XH101211A.cor,10,10,Elwha Snags14,1866,157208,313.96,1.3,0.9,1.116765,387131.63,965193.682,357
351, ,5015,,,,12.9, ,170,0,0,0,0,0,0,Medium,No,Loose, ,4.900000095,3,Postprocessed Code,GeoXH 6000,9/29/2015,03:46:14pm,New,Snag_Loc,XH092911A.cor,59,59,Elwha Snags14,1864,254790,210.681,0.9,0.7,1.911385,398530.132,968366.063,461
24, ,5014,,,,11.1,PSME,350,0,0,0.550000012,1.5,0.5,2.5,Medium,Yes, , ,2.200000048,1.100000024,Postprocessed Carrier Float,GeoXH 6000,10/20/2015,12:02:34pm,New,Snag_Loc,XH102010A.cor,26,26,Elwha Snags14,1867,241370,177.776,0.8,0.5,0.531878,403394.064,970298.277,25
350, ,5009,,,,12.7, ,215,0,0,0,0,0,0,Low,Yes,Racked, ,5.400000095,2.700000048,Postprocessed Code,GeoXH 6000,9/29/2015,02:52:30pm,New,Snag_Loc,XH092911A.cor,57,57,Elwha Snags14,1864,251566,224.438,1.6,2.7,6.222543,399056.699,968640.629,460
406, ,5007,,,,5.4,THPL,324,0,0,0.589999974,0,0.5,3.099999905,Low,No,Loose,in trees,5,2.799999952,Postprocessed Carrier Float,GeoXH 6000,9/16/2015,02:20:12pm,New,Snag_Loc,XH091609A.cor,18,18,Elwha Snags14,1862,336028,78.056,1.5,0.9,1.979203,416265.407,976751.427,701
418, ,5005,,,,3.6,PSME,90,0,0,0.75,0,0,5,Low,Yes,Racked,buried in sc3 logjam,5.300000191,3,Postprocessed Carrier Float,GeoXH 6000,9/8/2015,12:43:35pm,New,Snag_Loc,XH090810A.cor,29,29,Elwha Snags14,1861,243831,58.252,1.5,1.2,6.076118,421442.421,976241.432,723
477, ,5005,,,,3.6, ,54,0,0,0.850000024,0,0.800000012,3.200000048,Low,No,Racked, ,2.799999952,1.600000024,Postprocessed Carrier Float,Geo 7X (H-Star),9/23/2015,03:36:39pm,New,Snag_Loc,7X092314A.cor,13,13, ,1863,340615,54.431,0.7,0.5,0.354813,421443.634,976246.376,99
267, ,3129,,,,,THPL,1,9.5,5.699999809,0,0,1.700000048,1.5,Low,Upright,Key,stump large newly exposed,6.400000095,3.099999905,Postprocessed Carrier Float,GeoXH 6000,10/27/2015,02:18:52pm,New,Snag_Loc,XH102710A.cor,30,30,Elwha Snags14,1868,249548,161.183,0.7,0.6,6.773991,405651.461,970950.832,271
262, ,3128,,,,,PSME,1,3.700000048,2.900000095,1.220000029,0,0,5.400000095,Low,Upright, ,stump large newly exposed,5.699999809,3.799999952,Postprocessed Carrier Float,GeoXH 6000,10/27/2015,01:57:05pm,New,Snag_Loc,XH102710A.cor,46,46,Elwha Snags14,1868,248241,153.37,0.7,0.5,3.581696,406670.357,971374.244,266
260, ,3127,,,,,POTR,210,4.900000095,3.400000095,0.519999981,2.299999952,0,16.39999962,Low,Yes,Key,double trunk,4.5,2.799999952,Postprocessed Carrier Float,GeoXH 6000,10/27/2015,01:48:58pm,New,Snag_Loc,XH102710A.cor,37,37,Elwha Snags14,1868,247754,156.782,0.8,0.5,2.603634,406347.539,971231.935,264
259, ,3126,,,,,PSME,258,3.200000048,1.899999976,1.370000005,0,0,2.700000048,Medium,Yes,Key,stump large,4.199999809,2.5,Postprocessed Carrier Float,GeoXH 6000,10/27/2015,01:43:20pm,New,Snag_Loc,XH102710A.cor,30,30,Elwha Snags14,1868,247416,158.069,0.8,0.5,2.306408,405936.893,971388.106,263
255, ,3124,,,,,PSME,100,5.800000191,2.700000048,1.470000029,0,0,2.900000095,Low,Yes,Key, ,4.5,2.299999952,Postprocessed Carrier Float,GeoXH 6000,10/27/2015,01:30:11pm,New,Snag_Loc,XH102710A.cor,39,39,Elwha Snags14,1868,246627,159.084,0.7,0.5,6.204047,405371.008,971333.89,259
254, ,3123,,,,,THPL,1,3.5,0,1,0,0,1.5,Low,Upright, ,stump large newly exposed,3.099999905,2,Postprocessed Carrier Float,GeoXH 6000,10/27/2015,01:24:34pm,New,Snag_Loc,XH102710A.cor,28,28,Elwha Snags14,1868,246290,167.919,0.8,0.5,5.147731,404988.013,971271.753,258
239, ,3122,,,,,POTR,160,2.200000048,1.299999952,0.519999981,3,0.400000006,25.39999962,Low,Yes,Key,double trunk,4.800000191,2.599999905,Postprocessed Carrier Float,GeoXH 6000,10/27/2015,12:50:24pm,New,Snag_Loc,XH102710A.cor,46,46,Elwha Snags14,1868,244240,167.277,0.7,0.5,29.487229,404889.177,971144.227,243
